facility_id,lat,lon,geo_source
FA0308509,34.080008697383,-118.09271395174,census
FA0156709,34.161796876626,-118.059702233673,census
FA0281898,33.874011303713,-118.248301161642,census
FA0296909,34.043341131451,-118.468311453831,census
FA0014577,34.006385629886,-117.821772005939,census
FA0259915,34.063169183888,-117.720499244661,census
FA0017604,33.950056931673,-118.343977857473,census
FA0259914,34.067517417008,-117.972755505231,census
FA0325054,33.892288561816,-118.20778070749,census
FA0003881,34.017736011268,-118.105772909908,census
FA0266279,34.027784005303,-117.89375881435,census
FA0052810,34.157151003483,-118.634965246731,census
FA0139324,34.083485731904,-118.242708119822,census
FA0269308,34.14554382387,-118.000884109895,census
FA0026525,34.15407947604,-118.467438612033,census
FA0177602,34.072036250944,-118.364795365296,census
FA0313062,34.218931284461,-118.588577118385,census
FA0006908,34.073638445224,-118.382847400928,census
FA0275154,34.059870804241,-118.237785303924,census
FA0046138,34.140151187261,-118.019226273371,census
FA0276486,34.052481589324,-118.291682641368,census
FA0288463,33.863712566258,-118.082246587317,census
FA0257327,33.980493235993,-118.174210407514,census
FA0018907,33.916495467895,-118.344228743473,census
FA0069651,33.831781514683,-118.221037446257,census
FA0257329,33.916824852476,-118.050633381699,census
FA0310804,34.689312773279,-118.154442418515,census
FA0267593,33.975225216216,-118.163562200389,census
FA0006904,34.100314364429,-117.769707201969,census
FA0275160,34.053436818866,-118.376426733246,census
FA0070648,34.172740214212,-118.559894424881,census
FA0025208,34.168508575523,-118.604335024451,census
FA0275167,34.022594640739,-118.399670152523,census
FA0043096,34.052122042638,-118.25195221769,census
FA0275169,34.060391550004,-118.344784731096,census
FA0048787,34.415701413147,-118.474277477044,census
FA0301095,34.142985457345,-118.39130432107,census
FA0272932,34.630844517547,-118.219585599705,census
FA0047451,34.087778518478,-118.152037375673,census
FA0247970,33.857354464525,-118.063657508196,census
FA0034125,34.040529845336,-118.168338804253,census
FA0221383,34.070431143279,-118.40250863402,census
FA0266254,34.044413211001,-118.454694555347,census
FA0245318,34.079981000913,-118.093447909269,census
FA0011492,34.047246044116,-118.434553805805,census
FA0178914,34.172091843259,-118.386883530075,census
FA0022147,34.076185443401,-118.355622114241,census
FA0272928,34.039205927565,-118.430270899481,census
FA0288486,34.081142686152,-118.259941415363,census
FA0047444,34.046360352386,-118.252384299728,census
FA0259967,33.987445838906,-117.905929391677,census
FA0259969,34.06261514432,-117.738427158485,census
FA0326353,34.110406407949,-118.009767550713,census
FA0288490,34.024738665105,-118.411533325804,census
FA0034136,34.579637623702,-118.095148821191,census
FA0267577,34.058840162672,-118.345405013852,census
FA0292511,34.067891367671,-118.406844918493,census
FA0034133,34.04750027103,-118.322530035731,census
FA0267578,34.122477828899,-118.104339743404,census
FA0245326,33.960096858921,-118.2512967403,census
FA0035462,33.785968299974,-118.262831647409,census
FA0318733,34.081358175963,-118.151962149648,census
FA0318736,34.101518510535,-118.291699977331,census
FA0318735,34.239982451415,-118.562241937301,census
FA0292503,34.036919115795,-118.258423614674,census
FA0326359,34.450283190575,-118.497812450728,census
FA0275902,34.161822825359,-118.053206725249,census
FA0004497,33.890046680349,-118.299438301166,census
FA0326341,34.035863483937,-118.219000280745,census
FA0326342,34.133536219041,-117.89618271222,census
FA0295513,33.9295964927,-118.165723112729,census
FA0272873,34.062777835132,-118.031551738898,census
FA0245258,34.044582119974,-118.253866751242,census
FA0030782,34.267284313131,-118.523486433028,census
FA0004494,34.073596419143,-118.214949372604,census
FA0272874,34.079647017814,-118.102677896599,census
FA0136930,34.01210297308,-118.495613318144,census
FA0028468,34.050476073203,-118.361723540212,census
FA0003167,34.208868230352,-118.606108786163,census
FA0266199,34.076191890771,-118.354544474979,census
FA0004498,34.201298279285,-118.52982211095,census
FA0165494,33.980754326345,-118.03739313197,census
FA0050399,34.709401900634,-118.139426738914,census
FA0313024,34.042731737131,-118.235297271106,census
FA0313023,34.017690957668,-117.810597651228,census
FA0315698,33.738556240237,-118.292394799413,census
FA0318725,34.102314835243,-118.11101702561,census
FA0315699,34.129705183763,-118.029500670661,census
FA0143232,34.061751849787,-118.288478965983,census
FA0326347,33.831360863296,-118.073386912839,census
FA0326348,33.835267289938,-118.11655736705,census
FA0156540,34.139668141478,-117.984937331985,census
FA0250610,34.068246579925,-118.30904158034,census
FA0296835,34.083827627919,-118.359519009051,census
FA0326344,34.00382801132,-118.265161010664,census
FA0325000,34.031728255621,-118.198368200734,census
FA0251922,33.8602602999,-118.125021828196,census
FA0328991,34.031515179516,-118.496110275595,census
FA0033823,33.858411401001,-118.305225850842,census
FA0272863,34.221991470284,-118.605836333086,census
FA0271530,33.829642793338,-118.352087363493,census
